Pecha ID,Download Link,Non Word Ratio
PD340F75C,https://github.com/OpenPecha/PD340F75C/archive/refs/heads/botok.zip,0.09
P92C2E499,https://github.com/OpenPecha/P92C2E499/archive/refs/heads/botok.zip,0.09
PF5D575D0,https://github.com/OpenPecha/PF5D575D0/archive/refs/heads/botok.zip,0.1
P582667A8,https://github.com/OpenPecha/P582667A8/archive/refs/heads/botok.zip,0.06
P0BAAA0A0,https://github.com/OpenPecha/P0BAAA0A0/archive/refs/heads/botok.zip,0.12
P63942225,https://github.com/OpenPecha/P63942225/archive/refs/heads/botok.zip,0.09
P4A034246,https://github.com/OpenPecha/P4A034246/archive/refs/heads/botok.zip,0.1
P997D7C8B,https://github.com/OpenPecha/P997D7C8B/archive/refs/heads/botok.zip,0.1
PE1FE3688,https://github.com/OpenPecha/PE1FE3688/archive/refs/heads/botok.zip,0.1
P7B8F913A,https://github.com/OpenPecha/P7B8F913A/archive/refs/heads/botok.zip,0.15
PC37C38C2,https://github.com/OpenPecha/PC37C38C2/archive/refs/heads/botok.zip,0.07
P665CB104,https://github.com/OpenPecha/P665CB104/archive/refs/heads/botok.zip,0.09
P33D1D93A,https://github.com/OpenPecha/P33D1D93A/archive/refs/heads/botok.zip,0.1
P7494938E,https://github.com/OpenPecha/P7494938E/archive/refs/heads/botok.zip,0.12
P40391E88,https://github.com/OpenPecha/P40391E88/archive/refs/heads/botok.zip,0.22
P1447B067,https://github.com/OpenPecha/P1447B067/archive/refs/heads/botok.zip,0.15
P8D0988C9,https://github.com/OpenPecha/P8D0988C9/archive/refs/heads/botok.zip,0.14
P123E9364,https://github.com/OpenPecha/P123E9364/archive/refs/heads/botok.zip,0.1
P9E3C1884,https://github.com/OpenPecha/P9E3C1884/archive/refs/heads/botok.zip,0.1
P912FBA92,https://github.com/OpenPecha/P912FBA92/archive/refs/heads/botok.zip,0.07
PD8C61A48,https://github.com/OpenPecha/PD8C61A48/archive/refs/heads/botok.zip,0.11
P3FD14A63,https://github.com/OpenPecha/P3FD14A63/archive/refs/heads/botok.zip,0.14
P54E3FE44,https://github.com/OpenPecha/P54E3FE44/archive/refs/heads/botok.zip,0.13
P14B8CCA0,https://github.com/OpenPecha/P14B8CCA0/archive/refs/heads/botok.zip,0.11
P7A06A4AA,https://github.com/OpenPecha/P7A06A4AA/archive/refs/heads/botok.zip,0.09
P5DABF371,https://github.com/OpenPecha/P5DABF371/archive/refs/heads/botok.zip,0.16
P2400260A,https://github.com/OpenPecha/P2400260A/archive/refs/heads/botok.zip,0.06
P25645A61,https://github.com/OpenPecha/P25645A61/archive/refs/heads/botok.zip,0.09
P34D7E133,https://github.com/OpenPecha/P34D7E133/archive/refs/heads/botok.zip,0.18
PEFF6FF9D,https://github.com/OpenPecha/PEFF6FF9D/archive/refs/heads/botok.zip,0.15
